"Lenovo Flex 11 Chromebook ZA270025US Chromebook MTK MT8173C (2.1 GHz) 4 GB LPDDR3 Memory 32 GB eMMC 11.6"" Touchscreen Chrome OS",Model #: ZA270025US,$279.99
"SAMSUNG XE500C13-K04US Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB Memory 16 GB eMMC 11.6""  Chrome OS",Model #: XE500C13-K04US,$219.00
"Acer R13 CB5-312T-K40U Chromebook MTK MT8173C (2.1 GHz) 4 GB LPDDR3 Memory 64 GB Internal Storage 13.3"" Touchscreen Chrome OS",Model #: CB5-312T-K40U,$374.99
"ASUS Chromebook Flip C213SA-YS02-S with Stylus EMR Pen Intel Celeron N3350 (1.1 GHz) 4 GB LPDDR4 Memory 32 GB eMMC 11.6"" Touchscreen Chrome OS",Model #: C213SA-YS02-S,$396.56
"Acer C740-C3P1-US Chromebook Intel Celeron 3205U (1.50 GHz) 2 GB DDR3L Memory 16 GB eMMC Intel HD Graphics 11.6"" ComfyView 1366 x 768 Chrome OS 64-Bit",Model #: C740-C3P1-US,$189.99
"Acer Chromebook 15 CB3-532-C4ZZ Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB LPDDR3 Memory 32 GB Internal Storage SSD 15.6"" Chrome OS",Model #: CB3-532-C4ZZ,$229.99
"ASUS C302 Chromebook Flip C302CA-DHM4 12.5-inch FHD Touchscreen Convertible Chromebook Intel Core m3, 4 GB RAM, 64 GB Flash Storage, All-Metal Body, USB Type C, Corning Gorilla Glass, Chrome OS",Model #: C302CA-DHM4,$487.22
"ASUS C202 Chromebook C202SA-YS02 11.6"" Ruggedized and Water Resistant Design with 180 Degree (Intel Celeron 4 GB, 16 GB eMMC, Dark Blue)",Model #: C202SA-YS02,$224.78
Dell - 2NN30 - Dell Chromebook 3189 11.6 Touchscreen LCD 2 in 1 Chromebook - Intel Celeron N3060 Dual-core (2 Core) 1.60,Model #: 3189 (2NN30),$319.99
"ASUS Chromebook Flip C213SA-YS02 Chromebook Intel Celeron N3350 (1.1 GHz) 4 GB Memory 32 GB eMMC 11.6"" Touchscreen Chrome OS",Model #: C213SA-YS02,$344.76
"ASUS C300 Chromebook C300SA-DH02 Compact 13.3 Inch (Intel Celeron, 4 GB, 16 GB eMMC, Black)",Model #: C300SA-DH02,$224.46
"HP 11 G5 (1FX82UT#ABA) Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB LPDDR3 Memory 16 GB eMMC 11.6"" Chrome OS",Model #: 11 G5 (1FX82UT#ABA),$204.26
"Acer Chromebook 14 CB3-431-C5FM Chromebook Intel Celeron N3160 (1.60 GHz) 4 GB Memory 32 GB flash drive SSD 14.0"" Chrome OS",Model #: CB3-431-C5FM,$292.89
"HP Stream 14-ax020nr (X7S45UA#ABA) Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB Memory 32 GB Flash Storage 14"" 1366 x 768",Model #: 14-ax020nr (X7S45UA#ABA),$193.58
"ASUS C300 (C300SA-DH02-RD) Red Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB LPDDR3 Memory 16 GB eMMC 13.3"" Chrome OS",Model #: C300SA-DH02-RD,$224.37
"ASUS C300 (C300SA-DH02-LB) Light Blue Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB LPDDR3 Memory 16 GB eMMC 13.3"" Chrome OS",Model #: C300SA-DH02-LB,$225.49
"Lenovo N42-20 80US0002US Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB Memory 32 GB eMMC 14.0"" Chrome OS",Model #: 80US0002US,$212.00
"Acer C910-3916 Chromebook Intel Core i3 5th Gen 5005U (2.0 GHz) 4 GB DDR3L Memory 32 GB SSD 15.6"" Chrome OS 64-Bit",Model #: C910-3916,$410.67
"HP Chromebook 14 G5 14"" LCD Chromebook - Intel Celeron N3350 Dual-core (2 Core) 1.10 GHz - 8 GB LPDDR4 - 32 GB eMMC - Chrome OS - 1366 x 768 - Intel HD Graphics 500",Model #: 14 G5,$286.00
"Acer Chromebook 11 CB3-132-C4VV Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB Memory 16 GB Internal Storage 11.6"" Chrome OS",Model #: CB3-132-C4VV,$203.69
"SAMSUNG Chromebook Plus XE513C24-K01US OP1 Hexa-core (Dual A72, Quad A53) 4 GB Memory 32 GB eMMC 12.3"" Touchscreen Chrome OS",Model #: XE513C24-K01US,$518.99
"Lenovo 80VJ0000US Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB Memory 16 GB eMMC 14.0"" Touchscreen Chrome OS",Model #: 80VJ0000US,$256.04
"HP Chromebook 11 G5 EE 1BS76UT#ABA Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB Memory 16 GB eMMC 11.6"" Touchscreen Chrome OS",Model #: 1BS76UT#ABA,$242.57
"DELL 3180 (83C80) Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB Memory 16 GB eMMC 11.6"" Chrome OS",Model #: 3180 (83C80),$222.23
"HP 13 G1 (W0S99UT#ABA) Chromebook Intel Pentium 4405Y (1.50 GHz) 4 GB Memory 32 GB eMMC Intel HD Graphics 515 13.3"" 3200 x 1800 Chrome OS",Model #: 13 G1 (W0S99UT#ABA),$509.53
"SAMSUNG XE500C13-K05US Chromebook Intel Celeron N3060 (1.60 GHz) 2 GB Memory 16 GB eMMC 11.6"" Chrome OS",Model #: XE500C13-K05US,$214.99
Asus - C202SA-YS02-GR - C202sa-ys02-gr N3060 1.6g 4gb 16gb 11.6in Chrome Os No Touch Scrn,Model #: C202SA-YS02-GR,$241.38
"Acer Aspire CB3-431-C7VZ 14"" LED (In-plane Switching (IPS) Technology) Chromebook - Intel Celeron N3160 Quad-core (4 Core) 1.60 GHz",Model #: NX.GC2AA.010,$321.01
"HP 3XG52UT G5 14"" Touchscreen Chromebook N3450 8GB 32GB Flash Chrome OS",Model #: 3XG52UTABA,$368.99
"HP Chromebook 11 G5 1FX81UT#ABA Chromebook (Education Edition) Intel Celeron N3060 (1.60 GHz) 2 GB LPDDR3 Memory 16 GB eMMC SSD 11.6"" Chrome OS",Model #: 1FX81UT#ABA,$205.28
"DELL 3189 (T8TJG) Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB Memory 64 GB SSD 11.6"" Touchscreen Chrome OS",Model #: 3189 (T8TJG),$399.99
"HP 3UZ95UT Chromebook 14 G5 - Celeron N3350 / 1.1 Ghz - Google Chrome Os 64 - 4 Gb Ram - 32 Gb Emmc - 14 Inch Tn 1366 X 768 (Hd) - Hd Graphics 500 - Wi-Fi, Bluetooth - Kbd: Us - Promo",Model #: 3UZ95UT#ABA,$236.47
"HP 3GY49UA#ABA Chromebook Intel Celeron Dual-Core 1.10 GHz 4 GB Memory 16 GB HDD 14.0"" Chrome OS",Model #: 3GY49UA#ABA,$256.76
"DELL 3380 (VNPVR) Chromebooks                                                  Intel Celeron 3855U (1.60 GHz) 4 GB Memory 32 GB SSD 13.3"" Chrome OS",Model #: 3380 (VNPVR),$347.56
Lenovo - 80YS000CUS - Lenovo N23 Chromebook 80YS - Celeron N3060 / 1.6 GHz - Chrome OS - 4 GB RAM - 16 GB eMMC - 11.6,Model #: 80YS000CUS,$266.42
"HP Chromebook x360 11-ae020nr Chromebook Intel Celeron N3350 (1.1 GHz) 4 GB LPDDR4 Memory 32 GB eMMC 11.6"" Touchscreen 1366 x 768 Intel HD Graphics 500 Chrome OS",Model #: 11-ae020nr,$340.14
Dell - DP1T3 - Dell Chromebook 3189 11.6 Touchscreen LCD 2 in 1 Chromebook - Intel Celeron N3060 Dual-core (2 Core) 1.60,Model #: 3189 (DP1T3),$369.99
"DELL Chromebook 11 5190 640V4 Chromebook Intel Celeron N3350 (1.1 GHz) 4 GB LPDDR4 Memory 16 GB eMMC SSD 11.6"" Chrome OS",Model #: 640V4,$280.00
"HP Chromebook x360 11 G1 EE Chromebook Intel Celeron N3350 (1.1 GHz) 4 GB Memory 32GB eMMC SSD 11.6"" Touchscreen",Model #: Chromebook x360 11 G1 EE,$308.35
"DELL 3180 (D44PV) Chromebook Intel Celeron N3060 (1.60 GHz) 2 GB Memory 16 GB eMMC 11.6"" Chrome OS",Model #: 3180 (D44PV),$207.93
"Acer CP5-471-C0EX Chromebook Intel Celeron 3855U (1.60 GHz) 4 GB LPDDR3 Memory 16 GB eMMC 14.0"" Chrome OS",Model #: CP5-471-C0EX,$211.63
"HP Chromebook 14 G5 3NU63UT#ABA Chromebook Intel Celeron N3350 (1.1 GHz) 4 GB LPDDR4 Memory 16 GB eMMC Intel HD Graphics 500 14"" 1366 x 768 Chrome OS",Model #: 3NU63UT#ABA,$251.99
"Acer 11 N7 (C731-C8VE) Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB LPDDR3 Memory 16 GB Flash SSD 11.6"" Chrome OS",Model #: 11 N7 (C731-C8VE),$255.46
"DELL 3180 (RH02N) Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB Memory 32 GB eMMC 11.6"" Chrome OS",Model #: 3180 (RH02N),$269.99
"11.6"" Celeron N3350 4GB 32GB",Model #: TDFVJ,$309.99
"Acer NX.G55AA.010 Book R 11 C738T-C7Kd - Flip Design - Celeron N3060 / 1.6 Ghz - Chrome Os - 4 Gb Ram - 32 Gb Emmc - 11.6 Inch Ips Touchscreen 1366 X 768 (Hd) - Hd Graphics 400 - Wi-Fi, Bluetooth - B",Model #: NX.G55AA.010,$304.44
"HP Chromebook x360 11-ae010nr Chromebook Intel Celeron N3350 (1.1 GHz) 4 GB LPDDR4 Memory 16 GB eMMC 11.6"" Touchscreen Chrome OS",Model #: 11-ae010nr,$313.80
"HP 14-ca040nr Chromebook Intel Celeron N3350 (1.1 GHz) 4 GB LPDDR4 Memory 32 GB eMMC SSD 14.0"" Chrome OS",Model #: 14-ca040nr,$305.36
"11.6"" Celeron N3350 4GB 16GB",Model #: W0KX6,$329.28
"HP 14-ca020nr Chromebook Intel Celeron N3350 (1.1 GHz) 4 GB LPDDR4 Memory 16 GB eMMC Intel HD Graphics 500 14"" 1366 x 768 Chrome OS",Model #: 14-ca020nr,$253.00
"HP 14-ca060nr Chromebook Intel Celeron N3350 (1.1 GHz) 4 GB LPDDR4 Memory 32 GB eMMC Intel HD Graphics 500 14"" Touchscreen 1366 x 768 Chrome OS",Model #: ,$308.72
HP ChromeBook 11 G5 EE 1FX83UT-ABA Chromebook 11 G5,Model #: ,$283.99
"Refurbished: Acer CB3-532-C47C Chromebook Intel Celeron N3060 (1.60 GHz) 2 GB Memory 16 GB Flash 15.6""  Chrome OS (Manufacturer Recertified)",Model #: CB3-532-C47C,$130.00
"Refurbished: SAMSUNG XE500C21-AZ2US Chromebook 12.1"" Chrome OS C-Grade",Model #: XE500C21-AZ2US-C,$89.99
"Refurbished: ASUS C200MA-DS01/C Grade C Chromebook Intel Celeron N2830 (2.16 GHz) 2 GB Memory 16 GB eMMC 11.6"" Chrome OS",Model #: C200MA-DS01/C,$90.70
"Refurbished: HP F7W49UA-A Chromebook Intel Celeron 2955U (1.40 GHz) 4 GB Memory 16 GB SSD 14.0"" Chrome OS",Model #: F7W49UA-A,$109.99
"Refurbished: Lenovo ThinkPad X131E Grade B Chromebook Intel Celeron 1007U (1.5 GHz) 4 GB Memory 16 GB SSD 11.6"" Chrome OS",Model #: X131E,$109.99
"Refurbished: Acer CB3-431-C3WS Chromebook Intel Celeron N3160 (1.60 GHz) 4 GB Memory 32 GB Flash 14.0"" Chrome OS",Model #: CB3-431-C3WS,$174.53
"Refurbished: SAMSUNG XE500C21-AZ2US-B B Grade Chromebook Intel Atom N570 (1.66 GHz) 2 GB Memory 16 GB SSD 12.1"" Chrome OS",Model #: XE500C21-AZ2US-B,$84.75
"Refurbished: Acer CP5-471-581N Chromebook Intel Core i5 6th Gen 6200U (2.30 GHz) 8 GB LPDDR3 Memory 32 GB Flash 14.0"" Chrome OS (Manufacturer Recertified)",Model #: CP5-471-581N,$449.99
"Refurbished: Acer CB515-1HT-P39B Chromebook Intel Pentium 1.10 GHz 4 GB Memory 32 GB Flash SSD 15.6"" Touchscreen Chrome OS",Model #: CB515-1HT-P39B,$274.99
"Refurbished: HP F7W49UA-B Chromebook Intel Celeron 2955U (1.40 GHz) 4 GB Memory 16 GB SSD 14.0"" Chrome OS",Model #: F7W49UA-B,$112.73
"Refurbished: Acer Chromebook 15 CB3-532-C4ZZ Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB LPDDR3 Memory 32 GB Internal Storage SSD 15.6"" Chrome OS",Model #: CB3-532-C4ZZ,$188.99
"Refurbished: HP 11-1101 Chromebook Samsung Exynos 5250 (1.70 GHz) 2 GB Memory 16 GB Flash 11.6"" Chrome OS",Model #: 11-1101,$99.99
"Refurbished: Acer CB3-532-C3F7-US Chromebook Intel Celeron N3060 (1.60 GHz) 2 GB LPDDR3 Memory 16 GB Flash SSD 15.6"" Chrome OS",Model #: CB3-532-C3F7-US,$156.71
"Refurbished: Acer Spin 11 NX.GNJAA.002 Chromebook Intel Celeron 1.10 GHz 4 GB Memory 32 GB Flash SSD 11.6"" Chrome OS (Manufacturer Recertified)",Model #: NX.GNJAA.002,$291.80
"Refurbished: HP x360 11-ae010nr Chromebook Intel Celeron N3350 (1.1 GHz) 4 GB Memory 16 GB SSD 11.6"" Touchscreen Chrome OS",Model #: x360 11-ae010nr,$172.24
"Refurbished: Acer NX.MPRAA.013.NW Chromebook NVIDIA Tegra K1 2.10 GHz 2 GB Memory 16 GB Flash 13.3"" Chrome OS (New Open Box)",Model #: NX.MPRAA.013.NW,$153.99
"Refurbished: Acer R751T-C4XP Chromebook Intel Celeron N3350 (1.1 GHz) 4 GB Memory 32 GB eMMC SSD 11.6"" Touchscreen Chrome OS",Model #: R751T-C4XP,$266.99
"Refurbished: Acer C731-C8VE Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB Memory 16 GB Flash SSD 11.6"" Chrome OS",Model #: C731-C8VE,$159.69
"Refurbished: HP 11-V010NR Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB Memory 16 GB Flash 11.6"" Chrome OS (Certified Refurbished, Grade A)",Model #: 11-V010NR,$149.94
"Refurbished: Acer Chromebook 11 CB3-132-C9M7 Chromebook Intel Celeron N3060 (1.60 GHz) 2 GB Memory 16 GB Flash SSD 11.6"" Chrome OS",Model #: CB3-132-C9M7,$169.99
"Refurbished: Acer NX.G85AA.001.NW Chromebook Intel Celeron 2.16 GHz 2 GB Memory 16 GB Flash 11.6"" Chrome OS (New Open Box)",Model #: NX.G85AA.001.NW,$173.99
"Refurbished: Acer Chromebook 11 C732-C6WU Chromebook Intel Celeron N3350 (1.1 GHz) 4 GB LPDDR4 Memory 32 GB Flash SSD 11.6""  Chrome OS",Model #: C732-C6WU,$274.99
"Refurbished: Acer Chromebook Spin 11 CP311-1HN-C2DV Chromebook Intel Celeron N3350 (1.1 GHz) 4 GB LPDDR4 Memory 32 GB Flash SSD 11.6"" Touchscreen Chrome OS",Model #: CP311-1HN-C2DV,$339.99
"Refurbished: Acer 11.6"" Intel Core Celeron 1.1GHz 4GB Ram 32GB Flash ChromeOS|CP511-1HN-C7Q1",Model #: CP511-1HN-C7Q1,$274.99
"Refurbished: Acer 11.6"" Intel Core Celeron 1.60 GHz 4 GB Ram 32 GB Flash Chrome OS|C771-C4TM",Model #: C771-C4TM,$219.99
"Refurbished: Acer Chromebook 11.6"" Intel Celeron N3060 1.60 GHz 4GB Ram 32GB Flash Chrome OS",Model #: C731T-C0X8,$225.39
"Refurbished: Acer 11.6"" Intel Core Celeron 1.60 GHz 4 GB Ram 32GB Flash Chrome OS|C738T-C7KD",Model #: C738T-C7KD,$255.33
"Refurbished: Acer NX.G85AA.006.NW Chromebook Intel Celeron 2.16 GHz 2 GB Memory 16 GB SSD 11.6"" Chrome OS (New Open Box)",Model #: NX.G85AA.006.NW,$173.99
"Refurbished: Acer Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB Memory 32 GB SSD 11.6"" Touchscreen Chrome OS (Manufacturer Recertified)",Model #: ,$176.17
"Open Box: ASUS C100 C100PA-DB02 Chromebook Rockchip RK3288-C (1.80 GHz) 4 GB Memory 16 GB eMMC 10.1"" Touchscreen Chrome OS",Model #: C100PA-DB02,$207.99
"Open Box: HP F7W49UA-B Chromebook Intel Celeron 2955U (1.40 GHz) 4 GB Memory 16 GB SSD 14.0"" Chrome OS",Model #: F7W49UA-B,$84.99
"Open Box: HP F7W49UA-A Chromebook Intel Celeron 2955U (1.40 GHz) 4 GB Memory 16 GB SSD 14.0"" Chrome OS",Model #: F7W49UA-A,$74.99
"Open Box: Acer CB3-532-C47C Chromebook Intel Celeron N3060 (1.60 GHz) 2 GB Memory 16 GB Flash 15.6""  Chrome OS (Manufacturer Recertified)",Model #: CB3-532-C47C,$110.99
"Open Box: Samsung XE303C12-A01US Samsung Exynos 5250 1.7 GHz 2 GB 16 GB SSD 11.6"", Silver, Grade C",Model #: XE303C12-A01US,$74.00
"Open Box: SAMSUNG XE500C21-AZ2FR Chromebook Intel Atom N570 (1.66 GHz) 2 GB Memory 16 GB SSD 12.1"" Chrome OS",Model #: XE500C21-AZ2FR,$101.99
"HP Chromebook 13 G1 13.3"" (BrightView, In-plane Switching (IPS) Technology) Chromebook - Intel Core M (6th Gen) m7-6Y75 Chrome OS",Model #: W0T02UT#ABA,"$1,042.80"
"Refurbished: Acer CB3-431-C5FM Chromebook Intel Celeron N3160 (1.60 GHz) 4 GB LPDDR3 Memory 32 GB Flash 14.0"" Chrome OS (Manufacturer Recertified)",Model #: CB3-431-C5FM,$176.97
"Refurbished: Lenovo X131E C Grade Chromebook Intel Celeron 1007U (1.5 GHz) 4 GB Memory 16 GB SSD 11.6"" Chrome OS",Model #: X131E,$61.64
"Refurbished: Lenovo X131E B Grade Chromebook Intel Celeron 1007U (1.5 GHz) 4 GB Memory 16 GB SSD 11.6"" Chrome OS",Model #: X131E,$76.18
"Refurbished: Acer C720P-2625 Chromebook Intel Celeron 2955U (1.40 GHz) 4 GB Memory 16 GB SSD 11.6"" Touchscreen Chrome OS",Model #: C720P-2625,$154.99
